Date|Day in Season|Rank|Feast|Commemorations
2027-01-07|Feria V in Christmas|Feria|Feria V in Christmas|St. Raymond of Penyafort, Priest
2027-01-08|Feria VI in Christmas|Feria|Feria VI in Christmas|
2027-01-09|Sabbato in Christmas|Feria|Sabbato in Christmas|
2027-01-10|Dominica in Christmas|Feast|The Baptism of the Lord|
2027-01-11|Feria II week I of Ordinary Time|Feria|Feria II week I of Ordinary Time|
2027-01-12|Feria III week I of Ordinary Time|Feria|Feria III week I of Ordinary Time|
2027-01-13|Feria IV week I of Ordinary Time|Feria|Feria IV week I of Ordinary Time|St. Hilary, Bishop and Doctor of the Church
2027-01-14|Feria V week I of Ordinary Time|Feria|Feria V week I of Ordinary Time|
2027-01-15|Feria VI week I of Ordinary Time|Feria|Feria VI week I of Ordinary Time|
2027-01-16|Sabbato week I of Ordinary Time|Feria|Sabbato week I of Ordinary Time|BVM on Saturday
2027-01-17|Dominica II of Ordinary Time|Sunday|Dominica II of Ordinary Time|
2027-01-18|Feria II week II of Ordinary Time|Feria|Feria II week II of Ordinary Time|
2027-01-19|Feria III week II of Ordinary Time|Feria|Feria III week II of Ordinary Time|
2027-01-20|Feria IV week II of Ordinary Time|Feria|Feria IV week II of Ordinary Time|St. Fabian, Pope and Martyr, St. Sebastian, Martyr
2027-01-21|Feria V week II of Ordinary Time|Memorial|St. Agnes, Virgin and Martyr|
2027-01-22|Feria VI week II of Ordinary Time|Feria|Feria VI week II of Ordinary Time|St. Vincent, Deacon and Martyr
2027-01-23|Sabbato week II of Ordinary Time|Feria|Sabbato week II of Ordinary Time|BVM on Saturday
2027-01-24|Dominica III of Ordinary Time|Sunday|Dominica III of Ordinary Time|
2027-01-25|Feria II week III of Ordinary Time|Feast|The Conversion of St. Paul the Apostle|
2027-01-26|Feria III week III of Ordinary Time|Memorial|Sts. Timothy and Titus, Bishops|
2027-01-27|Feria IV week III of Ordinary Time|Feria|Feria IV week III of Ordinary Time|St. Angela Merici, Virgin
2027-01-28|Feria V week III of Ordinary Time|Memorial|St. Thomas Aquinas, Priest and Doctor of the Church|
2027-01-29|Feria VI week III of Ordinary Time|Feria|Feria VI week III of Ordinary Time|
2027-01-30|Sabbato week III of Ordinary Time|Feria|Sabbato week III of Ordinary Time|BVM on Saturday
2027-01-31|Dominica IV of Ordinary Time|Sunday|Dominica IV of Ordinary Time|
2027-02-01|Feria II week IV of Ordinary Time|Feria|Feria II week IV of Ordinary Time|
2027-02-02|Feria III week IV of Ordinary Time|Feast|The Presentation of the Lord|
2027-02-03|Feria IV week IV of Ordinary Time|Feria|Feria IV week IV of Ordinary Time|St. Blaise, Bishop and Martyr, St. Ansgar, Bishop
2027-02-04|Feria V week IV of Ordinary Time|Feria|Feria V week IV of Ordinary Time|
2027-02-05|Feria VI week IV of Ordinary Time|Memorial|St. Agatha, Virgin and Martyr|
2027-02-06|Sabbato week IV of Ordinary Time|Memorial|Sts. Paul Miki and Companions, Martyrs|
2027-02-07|Dominica V of Ordinary Time|Sunday|Dominica V of Ordinary Time|
2027-02-08|Feria II week V of Ordinary Time|Feria|Feria II week V of Ordinary Time|St. Jerome Emiliani, Priest, St. Josephine Bakhita, Virgin
2027-02-09|Feria III week V of Ordinary Time|Feria|Feria III week V of Ordinary Time|
2027-02-10|Feria IV after start of Lent|Feria|Ash Wednesday|
2027-02-11|Feria V after Ash Wednesday|Feria|Feria V after Ash Wednesday|Our Lady of Lourdes
2027-02-12|Feria VI after Ash Wednesday|Feria|Feria VI after Ash Wednesday|
2027-02-13|Sabbato after Ash Wednesday|Feria|Sabbato after Ash Wednesday|
2027-02-14|Dominica I of Lent|Major Sunday|Dominica I of Lent|
2027-02-15|Feria II week I of Lent|Feria|Feria II week I of Lent|
2027-02-16|Feria III week I of Lent|Feria|Feria III week I of Lent|
2027-02-17|Feria IV week I of Lent|Feria|Feria IV week I of Lent|The Seven Holy Founders of the Servite Order
2027-02-18|Feria V week I of Lent|Feria|Feria V week I of Lent|
2027-02-19|Feria VI week I of Lent|Feria|Feria VI week I of Lent|
2027-02-20|Sabbato week I of Lent|Feria|Sabbato week I of Lent|
2027-02-21|Dominica II of Lent|Major Sunday|Dominica II of Lent|
2027-02-22|Feria II week II of Lent|Feast|The Chair of St. Peter the Apostle|
2027-02-23|Feria III week II of Lent|Feria|Feria III week II of Lent|St. Polycarp, Bishop and Martyr
2027-02-24|Feria IV week II of Lent|Feria|Feria IV week II of Lent|
2027-02-25|Feria V week II of Lent|Feria|Feria V week II of Lent|
2027-02-26|Feria VI week II of Lent|Feria|Feria VI week II of Lent|
2027-02-27|Sabbato week II of Lent|Feria|Sabbato week II of Lent|St. Gregory of Narek, Abbot and Doctor of the Church
2027-02-28|Dominica III of Lent|Major Sunday|Dominica III of Lent|
2027-03-01|Feria II week III of Lent|Feria|Feria II week III of Lent|
2027-03-02|Feria III week III of Lent|Feria|Feria III week III of Lent|
2027-03-03|Feria IV week III of Lent|Feria|Feria IV week III of Lent|
2027-03-04|Feria V week III of Lent|Feria|Feria V week III of Lent|St. Casimir
2027-03-05|Feria VI week III of Lent|Feria|Feria VI week III of Lent|
2027-03-06|Sabbato week III of Lent|Feria|Sabbato week III of Lent|
2027-03-07|Dominica IV of Lent|Major Sunday|Dominica IV of Lent|
2027-03-08|Feria II week IV of Lent|Feria|Feria II week IV of Lent|St. John of God, Religious
2027-03-09|Feria III week IV of Lent|Feria|Feria III week IV of Lent|St. Frances of Rome, Religious
2027-03-10|Feria IV week IV of Lent|Feria|Feria IV week IV of Lent|
2027-03-11|Feria V week IV of Lent|Feria|Feria V week IV of Lent|
2027-03-12|Feria VI week IV of Lent|Feria|Feria VI week IV of Lent|
2027-03-13|Sabbato week IV of Lent|Feria|Sabbato week IV of Lent|
2027-03-14|Dominica of the Passion|Major Sunday|Dominica of the Passion|
2027-03-15|Feria II of Passion Week|Feria|Feria II of Passion Week|
2027-03-16|Feria III of Passion Week|Feria|Feria III of Passion Week|
2027-03-17|Feria IV of Passion Week|Feria|Feria IV of Passion Week|St. Patrick, Bishop
2027-03-18|Feria V of Passion Week|Feria|Feria V of Passion Week|St. Cyril of Jerusalem, Bishop and Doctor of the Church
2027-03-19|Feria VI of Passion Week|Solemnity|St. Joseph, Spouse of the Blessed Virgin Mary|
2027-03-20|Sabbato of Passion Week|Feria|Sabbato of Passion Week|
2027-03-21|Dominica Palm Sunday|Major Sunday|Dominica Palm Sunday|
2027-03-22|Feria II of Holy Week|Feria|Feria II of Holy Week|
2027-03-23|Feria III of Holy Week|Feria|Feria III of Holy Week|
2027-03-24|Feria IV of Holy Week|Feria|Feria IV of Holy Week|
2027-03-25|Feria V of Holy Week|Solemnity|The Annunciation of the Lord|
2027-03-26|Feria VI of Holy Week|Feria|Feria VI of Holy Week|
2027-03-27|Sabbato of Holy Week|Feria|Sabbato of Holy Week|
2027-03-28|Dominica Easter|Major Sunday|Dominica Easter|
2027-03-29|Feria II in the Octave of Easter|Feria|Feria II in the Octave of Easter|
2027-03-30|Feria III in the Octave of Easter|Feria|Feria III in the Octave of Easter|
2027-03-31|Feria IV in the Octave of Easter|Feria|Feria IV in the Octave of Easter|
2027-04-01|Feria V in the Octave of Easter|Feria|Feria V in the Octave of Easter|
2027-04-02|Feria VI in the Octave of Easter|Feria|Feria VI in the Octave of Easter|
2027-04-03|Sabbato in the Octave of Easter|Feria|Sabbato in the Octave of Easter|
2027-04-04|Dominica II of Easter|Sunday|Dominica II of Easter|
2027-04-05|Feria II week II of Eastertide|Feria|Feria II week II of Eastertide|St. Vincent Ferrer, Priest
2027-04-06|Feria III week II of Eastertide|Feria|Feria III week II of Eastertide|
2027-04-07|Feria IV week II of Eastertide|Memorial|St. John Baptist de la Salle, Priest|
2027-04-08|Feria V week II of Eastertide|Feria|Feria V week II of Eastertide|
2027-04-09|Feria VI week II of Eastertide|Feria|Feria VI week II of Eastertide|
2027-04-10|Sabbato week II of Eastertide|Feria|Sabbato week II of Eastertide|
2027-04-11|Dominica III of Easter|Sunday|Dominica III of Easter|
2027-04-12|Feria II week III of Eastertide|Feria|Feria II week III of Eastertide|
2027-04-13|Feria III week III of Eastertide|Feria|Feria III week III of Eastertide|St. Martin I, Pope and Martyr
2027-04-14|Feria IV week III of Eastertide|Feria|Feria IV week III of Eastertide|
2027-04-15|Feria V week III of Eastertide|Feria|Feria V week III of Eastertide|
2027-04-16|Feria VI week III of Eastertide|Feria|Feria VI week III of Eastertide|
2027-04-17|Sabbato week III of Eastertide|Feria|Sabbato week III of Eastertide|
2027-04-18|Dominica IV of Easter|Sunday|Dominica IV of Easter|
2027-04-19|Feria II week IV of Eastertide|Feria|Feria II week IV of Eastertide|
2027-04-20|Feria III week IV of Eastertide|Feria|Feria III week IV of Eastertide|
2027-04-21|Feria IV week IV of Eastertide|Feria|Feria IV week IV of Eastertide|St. Anselm, Bishop and Doctor of the Church
2027-04-22|Feria V week IV of Eastertide|Feria|Feria V week IV of Eastertide|
2027-04-23|Feria VI week IV of Eastertide|Feria|Feria VI week IV of Eastertide|St. George, Martyr, St. Adalbert, Bishop and Martyr
2027-04-24|Sabbato week IV of Eastertide|Feria|Sabbato week IV of Eastertide|St. Fidelis of Sigmaringen, Priest and Martyr
2027-04-25|Dominica V of Easter|Sunday|Dominica V of Easter|
2027-04-26|Feria II week V of Eastertide|Feria|Feria II week V of Eastertide|
2027-04-27|Feria III week V of Eastertide|Feria|Feria III week V of Eastertide|
2027-04-28|Feria IV week V of Eastertide|Feria|Feria IV week V of Eastertide|St. Peter Chanel, Priest and Martyr, St. Louis Grignon de Montfort, Priest
2027-04-29|Feria V week V of Eastertide|Memorial|St. Catherine of Siena, Virgin and Doctor of the Church|
2027-04-30|Feria VI week V of Eastertide|Feria|Feria VI week V of Eastertide|St. Pius V, Pope
2027-05-01|Sabbato week V of Eastertide|Feria|Sabbato week V of Eastertide|St. Joseph the Worker
2027-05-02|Dominica VI of Easter|Sunday|Dominica VI of Easter|
2027-05-03|Feria II week VI of Eastertide|Feast|Sts. Philip and James, Apostles|
2027-05-04|Feria III week VI of Eastertide|Feria|Feria III week VI of Eastertide|
2027-05-05|Feria IV week VI of Eastertide|Feria|Feria IV week VI of Eastertide|
2027-05-06|Feria V week VI of Eastertide|Solemnity|The Ascension of the Lord|
2027-05-07|Feria VI week VI of Eastertide|Feria|Feria VI week VI of Eastertide|
2027-05-08|Sabbato week VI of Eastertide|Feria|Sabbato week VI of Eastertide|
2027-05-09|Dominica VII of Easter|Sunday|Dominica VII of Easter|
2027-05-10|Feria II week VII of Eastertide|Feria|Feria II week VII of Eastertide|St. John of Ávila, Priest and Doctor of the Church
2027-05-11|Feria III week VII of Eastertide|Feria|Feria III week VII of Eastertide|
2027-05-12|Feria IV week VII of Eastertide|Feria|Feria IV week VII of Eastertide|Sts. Nereus and Achilleus, Martyrs, St. Pancras, Martyr
2027-05-13|Feria V week VII of Eastertide|Feria|Feria V week VII of Eastertide|Our Lady of Fatima
2027-05-14|Feria VI week VII of Eastertide|Feast|St. Matthias, Apostle|
2027-05-15|Sabbato week VII of Eastertide|Feria|Sabbato week VII of Eastertide|
2027-05-16|Dominica VII of Ordinary Time|Solemnity|Pentacost Sunday|
2027-05-17|Feria II week VII of Ordinary Time|Memorial|Blessed Virgin Mary, Mother of the Church|
2027-05-18|Feria III week VII of Ordinary Time|Feria|Feria III week VII of Ordinary Time|St. John I, Pope and Martyr
2027-05-19|Feria IV week VII of Ordinary Time|Feria|Feria IV week VII of Ordinary Time|
2027-05-20|Feria V week VII of Ordinary Time|Feria|Feria V week VII of Ordinary Time|St. Bernardine of Siena, Priest
2027-05-21|Feria VI week VII of Ordinary Time|Feria|Feria VI week VII of Ordinary Time|St. Christopher Magallanes and Companions, Priest and Martyrs
2027-05-22|Sabbato week VII of Ordinary Time|Feria|Sabbato week VII of Ordinary Time|St. Rita of Cascia, Religious, BVM on Saturday
2027-05-23|Dominica VIII of Ordinary Time|Solemnity|The Most Holy Trinity|
2027-05-24|Feria II week VIII of Ordinary Time|Feria|Feria II week VIII of Ordinary Time|
2027-05-25|Feria III week VIII of Ordinary Time|Feria|Feria III week VIII of Ordinary Time|St. Bede the Venerable, Priest and Doctor of the Church, St. Gregory VII, Pope, St. Mary Magdalene de' Pazzi, Virgin
2027-05-26|Feria IV week VIII of Ordinary Time|Memorial|St. Philip Neri, Priest|
2027-05-27|Feria V week VIII of Ordinary Time|Solemnity|The Most Holy Body and Blood of Christ|
2027-05-28|Feria VI week VIII of Ordinary Time|Feria|Feria VI week VIII of Ordinary Time|
2027-05-29|Sabbato week VIII of Ordinary Time|Feria|Sabbato week VIII of Ordinary Time|St. Paul VI, Pope, BVM on Saturday
2027-05-30|Dominica IX of Ordinary Time|Sunday|Dominica IX of Ordinary Time|
2027-05-31|Feria II week IX of Ordinary Time|Feast|The Visitation of the Blessed Virgin Mary|
2027-06-01|Feria III week IX of Ordinary Time|Memorial|St. Justin, Martyr|
2027-06-02|Feria IV week IX of Ordinary Time|Feria|Feria IV week IX of Ordinary Time|Sts. Marcellinus and Peter, Martyrs
2027-06-03|Feria V week IX of Ordinary Time|Memorial|Sts. Charles Lwanga and Companions, Martyrs|
2027-06-04|Feria VI week IX of Ordinary Time|Solemnity|The Most Sacred Heart of Jesus|
2027-06-05|Sabbato week IX of Ordinary Time|Feria|Sabbato week IX of Ordinary Time|St. Boniface, Bishop and Martyr, The Immaculate Heart of the Blessed Virgin Mary, BVM on Saturday
2027-06-06|Dominica X of Ordinary Time|Sunday|Dominica X of Ordinary Time|
2027-06-07|Feria II week X of Ordinary Time|Feria|Feria II week X of Ordinary Time|
2027-06-08|Feria III week X of Ordinary Time|Feria|Feria III week X of Ordinary Time|
2027-06-09|Feria IV week X of Ordinary Time|Feria|Feria IV week X of Ordinary Time|St. Ephrem, Deacon and Doctor of the Church
2027-06-10|Feria V week X of Ordinary Time|Feria|Feria V week X of Ordinary Time|
2027-06-11|Feria VI week X of Ordinary Time|Memorial|St. Barnabas, Apostle|
2027-06-12|Sabbato week X of Ordinary Time|Feria|Sabbato week X of Ordinary Time|BVM on Saturday
2027-06-13|Dominica XI of Ordinary Time|Sunday|Dominica XI of Ordinary Time|
2027-06-14|Feria II week XI of Ordinary Time|Feria|Feria II week XI of Ordinary Time|
2027-06-15|Feria III week XI of Ordinary Time|Feria|Feria III week XI of Ordinary Time|
2027-06-16|Feria IV week XI of Ordinary Time|Feria|Feria IV week XI of Ordinary Time|
2027-06-17|Feria V week XI of Ordinary Time|Feria|Feria V week XI of Ordinary Time|
2027-06-18|Feria VI week XI of Ordinary Time|Feria|Feria VI week XI of Ordinary Time|
2027-06-19|Sabbato week XI of Ordinary Time|Feria|Sabbato week XI of Ordinary Time|St. Romuald, Abbot, BVM on Saturday
2027-06-20|Dominica XII of Ordinary Time|Sunday|Dominica XII of Ordinary Time|
2027-06-21|Feria II week XII of Ordinary Time|Memorial|St. Aloysius Gonzaga, Religious|
2027-06-22|Feria III week XII of Ordinary Time|Feria|Feria III week XII of Ordinary Time|St. Paulinus of Nola, Bishop, Sts. John Fisher and Thomas More, Bishop and Martyrs
2027-06-23|Feria IV week XII of Ordinary Time|Feria|Feria IV week XII of Ordinary Time|
2027-06-24|Feria V week XII of Ordinary Time|Solemnity|The Nativity of St. John the Baptist|
2027-06-25|Feria VI week XII of Ordinary Time|Feria|Feria VI week XII of Ordinary Time|
2027-06-26|Sabbato week XII of Ordinary Time|Feria|Sabbato week XII of Ordinary Time|BVM on Saturday
2027-06-27|Dominica XIII of Ordinary Time|Sunday|Dominica XIII of Ordinary Time|
2027-06-28|Feria II week XIII of Ordinary Time|Memorial|St. Irenaeus, Bishop and Martyr and Doctor of the Church|
2027-06-29|Feria III week XIII of Ordinary Time|Solemnity|Sts. Peter and Paul, Apostles|
2027-06-30|Feria IV week XIII of Ordinary Time|Feria|Feria IV week XIII of Ordinary Time|The First Martyrs of Holy Roman Church, Martyrs
2027-07-01|Feria V week XIII of Ordinary Time|Feria|Feria V week XIII of Ordinary Time|
2027-07-02|Feria VI week XIII of Ordinary Time|Feria|Feria VI week XIII of Ordinary Time|
2027-07-03|Sabbato week XIII of Ordinary Time|Feast|St. Thomas, Apostle|
2027-07-04|Dominica XIV of Ordinary Time|Sunday|Dominica XIV of Ordinary Time|
2027-07-05|Feria II week XIV of Ordinary Time|Feria|Feria II week XIV of Ordinary Time|St. Anthony Zaccaria, Priest
2027-07-06|Feria III week XIV of Ordinary Time|Feria|Feria III week XIV of Ordinary Time|St. Maria Goretti, Virgin and Martyr
2027-07-07|Feria IV week XIV of Ordinary Time|Feria|Feria IV week XIV of Ordinary Time|
2027-07-08|Feria V week XIV of Ordinary Time|Feria|Feria V week XIV of Ordinary Time|
2027-07-09|Feria VI week XIV of Ordinary Time|Feria|Feria VI week XIV of Ordinary Time|St. Augustine Zhao Rong and Companions, Priest and Martyrs
2027-07-10|Sabbato week XIV of Ordinary Time|Feria|Sabbato week XIV of Ordinary Time|BVM on Saturday
2027-07-11|Dominica XV of Ordinary Time|Sunday|Dominica XV of Ordinary Time|
2027-07-12|Feria II week XV of Ordinary Time|Feria|Feria II week XV of Ordinary Time|
2027-07-13|Feria III week XV of Ordinary Time|Feria|Feria III week XV of Ordinary Time|St. Henry
2027-07-14|Feria IV week XV of Ordinary Time|Feria|Feria IV week XV of Ordinary Time|St. Camillus de Lellis, Priest
2027-07-15|Feria V week XV of Ordinary Time|Memorial|St. Bonaventure, Bishop and Doctor of the Church|
2027-07-16|Feria VI week XV of Ordinary Time|Feria|Feria VI week XV of Ordinary Time|Our Lady of Mount Carmel
2027-07-17|Sabbato week XV of Ordinary Time|Feria|Sabbato week XV of Ordinary Time|BVM on Saturday
2027-07-18|Dominica XVI of Ordinary Time|Sunday|Dominica XVI of Ordinary Time|
2027-07-19|Feria II week XVI of Ordinary Time|Feria|Feria II week XVI of Ordinary Time|
2027-07-20|Feria III week XVI of Ordinary Time|Feria|Feria III week XVI of Ordinary Time|St. Apollinaris, Bishop and Martyr
2027-07-21|Feria IV week XVI of Ordinary Time|Feria|Feria IV week XVI of Ordinary Time|St. Lawrence of Brindisi, Priest and Doctor of the Church
2027-07-22|Feria V week XVI of Ordinary Time|Feast|St. Mary Magdalene|
2027-07-23|Feria VI week XVI of Ordinary Time|Feria|Feria VI week XVI of Ordinary Time|St. Bridget, Religious
2027-07-24|Sabbato week XVI of Ordinary Time|Feria|Sabbato week XVI of Ordinary Time|St. Sharbel Makhluf, Priest, BVM on Saturday
2027-07-25|Dominica XVII of Ordinary Time|Sunday|Dominica XVII of Ordinary Time|
2027-07-26|Feria II week XVII of Ordinary Time|Memorial|Sts. Joachim and Anne, Parents of the Blessed Virgin Mary|
2027-07-27|Feria III week XVII of Ordinary Time|Feria|Feria III week XVII of Ordinary Time|
2027-07-28|Feria IV week XVII of Ordinary Time|Feria|Feria IV week XVII of Ordinary Time|
2027-07-29|Feria V week XVII of Ordinary Time|Memorial|Sts. Martha, Mary and Lazarus|
2027-07-30|Feria VI week XVII of Ordinary Time|Feria|Feria VI week XVII of Ordinary Time|St. Peter Chrysologus, Bishop and Doctor of the Church
2027-07-31|Sabbato week XVII of Ordinary Time|Memorial|St. Ignatius of Loyola, Priest|
2027-08-01|Dominica XVIII of Ordinary Time|Sunday|Dominica XVIII of Ordinary Time|
2027-08-02|Feria II week XVIII of Ordinary Time|Feria|Feria II week XVIII of Ordinary Time|St. Eusebius of Vercelli, Bishop, St. Peter Julian Eymard, Priest
2027-08-03|Feria III week XVIII of Ordinary Time|Feria|Feria III week XVIII of Ordinary Time|
2027-08-04|Feria IV week XVIII of Ordinary Time|Memorial|St. Jean Vianney, Priest|
2027-08-05|Feria V week XVIII of Ordinary Time|Feria|Feria V week XVIII of Ordinary Time|The Dedication of the Basilica of St. Mary Major
2027-08-06|Feria VI week XVIII of Ordinary Time|Feast|The Transfiguration of the Lord|
2027-08-07|Sabbato week XVIII of Ordinary Time|Feria|Sabbato week XVIII of Ordinary Time|St. Sixtus II and Companions, Pope and Martyrs, St. Cajetan, Priest, BVM on Saturday
2027-08-08|Dominica XIX of Ordinary Time|Sunday|Dominica XIX of Ordinary Time|
2027-08-09|Feria II week XIX of Ordinary Time|Feria|Feria II week XIX of Ordinary Time|St. Teresa Benedicta of the Cross, Virgin and Martyr
2027-08-10|Feria III week XIX of Ordinary Time|Feast|St. Lawrence, Deacon and Martyr|
2027-08-11|Feria IV week XIX of Ordinary Time|Memorial|St. Clare, Virgin|
2027-08-12|Feria V week XIX of Ordinary Time|Feria|Feria V week XIX of Ordinary Time|St. Jane Frances de Chantal, Religious
2027-08-13|Feria VI week XIX of Ordinary Time|Feria|Feria VI week XIX of Ordinary Time|Sts. Pontian and Hippolytus, Pope and Priest and Martyrs
2027-08-14|Sabbato week XIX of Ordinary Time|Memorial|St. Maximilian Kolbe, Priest and Martyr|
2027-08-15|Dominica XX of Ordinary Time|Solemnity|The Assumption of the Blessed Virgin Mary|
2027-08-16|Feria II week XX of Ordinary Time|Feria|Feria II week XX of Ordinary Time|St. Stephen of Hungary
2027-08-17|Feria III week XX of Ordinary Time|Feria|Feria III week XX of Ordinary Time|
2027-08-18|Feria IV week XX of Ordinary Time|Feria|Feria IV week XX of Ordinary Time|
2027-08-19|Feria V week XX of Ordinary Time|Feria|Feria V week XX of Ordinary Time|St. John Eudes, Priest
2027-08-20|Feria VI week XX of Ordinary Time|Memorial|St. Bernard, Abbot and Doctor of the Church|
2027-08-21|Sabbato week XX of Ordinary Time|Memorial|St. Pius X, Pope|
2027-08-22|Dominica XXI of Ordinary Time|Sunday|Dominica XXI of Ordinary Time|
2027-08-23|Feria II week XXI of Ordinary Time|Feria|Feria II week XXI of Ordinary Time|St. Rose of Lima, Virgin
2027-08-24|Feria III week XXI of Ordinary Time|Feast|St. Bartholomew, Apostle|
2027-08-25|Feria IV week XXI of Ordinary Time|Feria|Feria IV week XXI of Ordinary Time|St. Louis, St. Joseph Calasanz, Priest
2027-08-26|Feria V week XXI of Ordinary Time|Feria|Feria V week XXI of Ordinary Time|
2027-08-27|Feria VI week XXI of Ordinary Time|Memorial|St. Monica|
2027-08-28|Sabbato week XXI of Ordinary Time|Memorial|St. Augustine of Hippo, Bishop and Doctor of the Church|
2027-08-29|Dominica XXII of Ordinary Time|Sunday|Dominica XXII of Ordinary Time|
2027-08-30|Feria II week XXII of Ordinary Time|Feria|Feria II week XXII of Ordinary Time|
2027-08-31|Feria III week XXII of Ordinary Time|Feria|Feria III week XXII of Ordinary Time|
2027-09-01|Feria IV week XXII of Ordinary Time|Feria|Feria IV week XXII of Ordinary Time|
2027-09-02|Feria V week XXII of Ordinary Time|Feria|Feria V week XXII of Ordinary Time|
2027-09-03|Feria VI week XXII of Ordinary Time|Memorial|St. Gregory the Great, Pope and Doctor of the Church|
2027-09-04|Sabbato week XXII of Ordinary Time|Feria|Sabbato week XXII of Ordinary Time|BVM on Saturday
2027-09-05|Dominica XXIII of Ordinary Time|Sunday|Dominica XXIII of Ordinary Time|
2027-09-06|Feria II week XXIII of Ordinary Time|Feria|Feria II week XXIII of Ordinary Time|
2027-09-07|Feria III week XXIII of Ordinary Time|Feria|Feria III week XXIII of Ordinary Time|
2027-09-08|Feria IV week XXIII of Ordinary Time|Feast|The Nativity of the Blessed Virgin Mary|
2027-09-09|Feria V week XXIII of Ordinary Time|Feria|Feria V week XXIII of Ordinary Time|St. Peter Claver, Priest
2027-09-10|Feria VI week XXIII of Ordinary Time|Feria|Feria VI week XXIII of Ordinary Time|
2027-09-11|Sabbato week XXIII of Ordinary Time|Feria|Sabbato week XXIII of Ordinary Time|BVM on Saturday
2027-09-12|Dominica XXIV of Ordinary Time|Sunday|Dominica XXIV of Ordinary Time|
2027-09-13|Feria II week XXIV of Ordinary Time|Memorial|St. John Chrysostom, Bishop and Doctor of the Church|
2027-09-14|Feria III week XXIV of Ordinary Time|Feast|The Exaltation of the Holy Cross|
2027-09-15|Feria IV week XXIV of Ordinary Time|Memorial|Our Lady of Sorrows|
2027-09-16|Feria V week XXIV of Ordinary Time|Memorial|Sts. Cornelius and Cyprian, Pope and Bishop and Martyrs|
2027-09-17|Feria VI week XXIV of Ordinary Time|Feria|Feria VI week XXIV of Ordinary Time|St. Robert Bellarmine, Bishop and Doctor of the Church, St. Hildegard of Bingen, Virgin and Doctor of the Church
